,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,Z
0,7.7527,1963600.0,0.24138,699.09,0.59769,0,772830.0,9.546e+18,335.64,,0.0,-8.1,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004964107514143
1,7.7508,1963100.0,0.24214,701.09,0.15881,0,772560.0,9.5422e+18,335.61,,0.0731,-8.0269,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004950406321504
2,7.7488,1962600.0,0.24291,703.09,-0.28008,0,772290.0,9.5384e+18,335.57,,0.1462,-7.9538,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004932838307374
3,7.7469,1962100.0,0.24367,705.09,-0.71896,0,772020.0,9.5346e+18,335.54,,0.2193,-7.8807,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004919144020528
4,7.745,1961700.0,0.24444,707.09,-1.1578,0,771750.0,9.5307e+18,335.51,,0.2924,-7.8076,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004905453301995
5,7.7431,1961200.0,0.2452,709.09,-1.5967,0,771480.0,9.5269e+18,335.47,,0.3655,-7.7345,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004887894593137
6,7.7411,1960700.0,0.24596,711.09,-2.0356,0,771210.0,9.5231e+18,335.44,,0.4386,-7.6614,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004874210800179
7,7.739,1960200.0,0.24686,713.44,-2.4648,0,770920.0,9.5189e+18,335.4,,0.5117,-7.5883,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004856505452102
8,7.7359,1959500.0,0.2484,717.53,-2.847,0,770490.0,9.5128e+18,335.35,,0.5848,-7.5152,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000483386530202
9,7.7329,1958800.0,0.24993,721.61,-3.2291,0,770070.0,9.5068e+18,335.3,,0.6579,-7.4421,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004811309852142
10,7.7298,1958200.0,0.25147,725.7,-3.6112,0,769640.0,9.5007e+18,335.25,,0.731,-7.369,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004788687283201
11,7.7267,1957500.0,0.253,729.78,-3.9934,0,769210.0,9.4947e+18,335.19,,0.8041,-7.2959,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000476219882192
12,7.7236,1956800.0,0.25454,733.86,-4.3755,0,768790.0,9.4886e+18,335.14,,0.8772,-7.2228,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004739668637899
13,7.7206,1956200.0,0.25608,737.95,-4.7576,0,768360.0,9.4826e+18,335.09,,0.9503,-7.1497,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004717072207159
14,7.7162,1955200.0,0.25794,742.82,-5.0906,0,767770.0,9.4742e+18,335.02,,1.0234,-7.0766,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004685541479323
15,7.7086,1953500.0,0.26055,749.48,-5.3113,0,766800.0,9.4604e+18,334.93,,1.0965,-7.0035,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004643465251202
16,7.7011,1951700.0,0.26316,756.15,-5.532,0,765840.0,9.4467e+18,334.83,,1.1696,-6.9304,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000459763353026
17,7.6936,1950000.0,0.26577,762.81,-5.7528,0,764870.0,9.433e+18,334.73,,1.2427,-6.8573,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000455177578353
18,7.6857,1948200.0,0.26896,771.02,-5.9479,0,763820.0,9.4181e+18,334.62,,1.3158,-6.7842,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004501510383716
19,7.6778,1946500.0,0.27225,779.49,-6.1387,0,762760.0,9.4031e+18,334.5,,1.3889,-6.7111,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004447351050234
20,7.6698,1944700.0,0.27554,787.96,-6.3294,0,761700.0,9.388e+18,334.38,,1.462,-6.638,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004393247917915
21,7.6614,1942900.0,0.27909,797.08,-6.5204,0,760570.0,9.372e+18,334.25,,1.5351,-6.5649,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004334828606138
22,7.6523,1940900.0,0.28302,807.15,-6.7116,0,759340.0,9.3544e+18,334.11,,1.6082,-6.4918,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004271896071828
23,7.6432,1939000.0,0.28695,817.22,-6.9029,0,758100.0,9.3369e+18,333.96,,1.6813,-6.4187,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000420508795253
24,7.6341,1937000.0,0.29089,827.29,-7.0942,0,756870.0,9.3193e+18,333.81,,1.7544,-6.3456,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004138423290916
25,7.6233,1934600.0,0.29545,838.79,-7.2754,0,755390.0,9.2983e+18,333.64,,1.8275,-6.2725,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004062383645007
26,7.6123,1932300.0,0.30006,850.42,-7.4557,0,753890.0,9.2771e+18,333.45,,1.9006,-6.1994,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000397854704702
27,7.6013,1929900.0,0.30467,862.04,-7.636,0,752390.0,9.2558e+18,333.27,,1.9737,-6.1263,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0003898709815702
28,7.5894,1927300.0,0.30958,874.29,-7.8016,0,750770.0,9.2328e+18,333.08,,2.0468,-6.0532,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0003814325457743
29,7.5764,1924500.0,0.31486,887.34,-7.9481,0,748990.0,9.2075e+18,332.86,,2.1199,-5.9801,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0003717386950977
30,7.5633,1921700.0,0.32014,900.39,-8.0947,0,747210.0,9.1822e+18,332.64,,2.193,-5.907,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0003620607054364
31,7.5503,1918800.0,0.32542,913.43,-8.2412,0,745430.0,9.1569e+18,332.42,,2.2661,-5.8339,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0003523986791152
32,7.5352,1915600.0,0.33129,927.6,-8.3331,0,743380.0,9.1278e+18,332.17,,2.3392,-5.7608,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0003414224980254
33,7.52,1912300.0,0.3372,941.86,-8.4209,0,741300.0,9.0983e+18,331.91,,2.4123,-5.6877,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000330060214639
34,7.5048,1909000.0,0.34311,956.11,-8.5087,0,739230.0,9.0688e+18,331.65,,2.4854,-5.6146,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0003187256608497
35,7.4889,1905600.0,0.34925,970.76,-8.5648,0,737050.0,9.0379e+18,331.37,,2.5585,-5.5415,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000306570749993
36,7.4721,1901900.0,0.3557,985.95,-8.5781,0,734730.0,9.005e+18,331.08,,2.6316,-5.4684,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0002939742359114
37,7.4553,1898300.0,0.36215,1001.1,-8.5914,0,732420.0,8.9722e+18,330.78,,2.7047,-5.3953,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0002810193231944
38,7.4384,1894700.0,0.3686,1016.3,-8.6048,0,730110.0,8.9393e+18,330.48,,2.7778,-5.3222,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0002680918292115
39,7.4195,1890600.0,0.37553,1032.3,-7.8494,0,727530.0,8.9027e+18,330.15,,2.8509,-5.2491,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.00025388484258
40,7.3999,1886400.0,0.3827,1048.7,-7.1066,0,724850.0,8.8647e+18,329.81,,2.924,-5.176,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0002392741585384
41,7.3775,1881600.0,0.39099,1067.5,-6.9443,0,721760.0,8.8208e+18,329.4,,2.9971,-5.1029,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0002217688396016
42,7.3533,1876400.0,0.39957,1086.6,-6.8329,0,718440.0,8.7736e+18,328.96,,3.0702,-5.0298,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0002030369794626
43,7.3262,1870400.0,0.40862,1106.3,-6.805,0,714750.0,8.7213e+18,328.49,,3.1433,-4.9567,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0001830375343546
44,7.2992,1864600.0,0.41769,1125.9,-6.7533,0,711080.0,8.6691e+18,328.01,,3.2164,-4.8836,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000162726195524
45,7.2724,1858700.0,0.42679,1145.3,-6.6859,0,707420.0,8.6171e+18,327.52,,3.2895,-4.8105,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0001420974106854
46,7.2444,1852700.0,0.43608,1164.8,-6.6954,0,703600.0,8.5629e+18,327.01,,3.3626,-4.7374,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0001207022058238
47,7.2161,1846500.0,0.44544,1184.3,-6.7151,0,699740.0,8.5081e+18,326.5,,3.4357,-4.6643,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0000993783421146
48,7.1858,1840000.0,0.45517,1204.0,-6.6252,0,695630.0,8.4498e+18,325.94,,3.5088,-4.5912,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0000760934434352
49,7.155,1833300.0,0.465,1223.7,-6.5437,0,691440.0,8.3903e+18,325.38,,3.5819,-4.5181,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000052888828944
50,7.1224,1826200.0,0.47511,1243.4,-6.4845,0,687040.0,8.3278e+18,324.79,,3.655,-4.445,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000028555766929
51,7.0888,1818900.0,0.48539,1263.2,-6.4259,0,682520.0,8.2635e+18,324.18,,3.7281,-4.3719,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0000035238136264
52,7.0542,1811300.0,0.49583,1282.8,-6.368,0,677850.0,8.1973e+18,323.54,,3.8012,-4.2988,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9999774011343279
53,7.0182,1803400.0,0.50645,1302.2,-6.3062,0,673030.0,8.1288e+18,322.89,,3.8743,-4.2257,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.999951002830347
54,6.9817,1795400.0,0.51715,1321.5,-6.2426,0,668140.0,8.0594e+18,322.22,,3.9474,-4.1526,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9999239468710927
55,6.9448,1787400.0,0.52812,1340.9,-6.1864,0,663170.0,7.9887e+18,321.52,,4.0205,-4.0795,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9998958380842897
56,6.9072,1779200.0,0.53921,1360.2,-6.0075,0,658120.0,7.917e+18,320.81,,4.0936,-4.0064,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9998674893588044
57,6.8654,1770100.0,0.55095,1379.8,-5.2002,0,652560.0,7.8381e+18,320.03,,4.1667,-3.9333,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9998365390754115
58,6.8237,1760900.0,0.56243,1398.3,-4.888,0,647040.0,7.7598e+18,319.27,,4.2398,-3.8602,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9998065988434516
59,6.7832,1752100.0,0.57375,1416.3,-3.8596,0,641680.0,7.6836e+18,318.51,,4.3129,-3.7871,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9997768338127268
60,6.7379,1742200.0,0.58629,1435.6,-3.5393,0,635680.0,7.5985e+18,317.66,,4.386,-3.714,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9997437819327581
61,6.689,1731400.0,0.59956,1455.3,-3.4453,0,629220.0,7.5066e+18,316.73,,4.4591,-3.6409,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9997078776956724
62,6.6406,1720700.0,0.61236,1473.5,-3.331,0,622880.0,7.4166e+18,315.82,,4.5322,-3.5678,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.999673045670924
63,6.5927,1710100.0,0.62521,1491.4,-3.2635,0,616570.0,7.327e+18,314.89,,4.6053,-3.4947,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9996376791471504
64,6.5449,1699500.0,0.63752,1507.6,-2.668,0,610340.0,7.2386e+18,313.99,,4.6784,-3.4216,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9996038036639425
65,6.4957,1688700.0,0.65062,1524.7,-2.4751,0,603890.0,7.1469e+18,313.02,,4.7515,-3.3485,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9995674768262931
66,6.4419,1676600.0,0.6644,1541.4,-2.3564,0,596880.0,7.0474e+18,311.97,,4.8246,-3.2754,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9995285409907031
67,6.3881,1664600.0,0.67809,1557.4,-2.2691,0,589890.0,6.9482e+18,310.92,,4.8977,-3.2023,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9994899891600608
68,6.3342,1652500.0,0.69174,1572.7,-2.1999,0,582920.0,6.8492e+18,309.85,,4.9708,-3.1292,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9994509974499511
69,6.2794,1640300.0,0.70553,1587.3,-2.1303,0,575850.0,6.7488e+18,308.77,,5.0439,-3.0561,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9994120916356976
70,6.2236,1627800.0,0.71941,1601.3,-2.0425,0,568690.0,6.6471e+18,307.66,,5.117,-2.983,0,0,804803.6975130122,804803.6975130122,6352.135676436638,0.9993724592073273
