"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.40225,3.2598,0.14477,0.35919,1,0,10,0,0
0.40114,3.2611,0.14426,0.35893,1,0.016,10,0.016,0
0.40003,3.2625,0.14375,0.35868,1,0.032,10,0.032,0
0.39892,3.2638,0.14324,0.35843,1,0.048,10,0.048,0
0.39782,3.2652,0.14273,0.35818,1,0.064,10,0.064,0
0.39671,3.2665,0.14222,0.35792,1,0.08,10,0.08,0
0.3956,3.2679,0.1417,0.35767,1,0.096,10,0.096,0
0.39449,3.2692,0.14119,0.35742,1,0.112,10,0.112,0
0.39339,3.2705,0.14068,0.35717,1,0.128,10,0.128,0
0.39228,3.2719,0.14017,0.35691,1,0.144,10,0.144,0
0.39117,3.2732,0.13966,0.35666,1,0.16,10,0.16,0
0.39006,3.2746,0.13915,0.35641,1,0.176,10,0.176,0
0.38896,3.2759,0.13864,0.35616,1,0.192,10,0.192,0
0.38785,3.2773,0.13813,0.35591,1,0.208,10,0.208,0
0.38674,3.2786,0.13762,0.35565,1,0.224,10,0.224,0
0.38563,3.28,0.13711,0.3554,1,0.24,10,0.24,0
0.38453,3.2813,0.13659,0.35515,1,0.256,10,0.256,0
0.38358,3.2826,0.13615,0.35492,1,0.272,10,0.272,0
0.38322,3.2834,0.13597,0.35479,1,0.288,10,0.288,0
0.38293,3.2842,0.13583,0.35469,1,0.304,10,0.304,0
0.38265,3.2849,0.13569,0.35458,1,0.32,10,0.32,0
0.38236,3.2857,0.13555,0.35447,1,0.336,10,0.336,0
0.38207,3.2864,0.13541,0.35437,1,0.352,10,0.352,0
0.38178,3.2872,0.13527,0.35426,1,0.368,10,0.368,0
0.3815,3.2879,0.13514,0.35416,1,0.384,10,0.384,0
0.38121,3.2887,0.135,0.35405,1,0.4,10,0.4,0
0.38092,3.2894,0.13486,0.35394,1,0.416,10,0.416,0
0.38063,3.2902,0.13472,0.35384,1,0.432,10,0.432,0
0.38034,3.2909,0.13458,0.35373,1,0.448,10,0.448,0
0.38006,3.2916,0.13445,0.35363,1,0.464,10,0.464,0
0.37977,3.2924,0.13431,0.35352,1,0.48,10,0.48,0
0.37948,3.2931,0.13417,0.35341,1,0.496,10,0.496,0
0.37948,3.2936,0.13415,0.35338,1,0.512,10,0.512,0
0.37955,3.294,0.13416,0.35335,1,0.528,10,0.528,0
0.37962,3.2943,0.13418,0.35333,1,0.544,10,0.544,0
0.37968,3.2947,0.13419,0.35331,1,0.56,10,0.56,0
0.37975,3.2951,0.1342,0.35329,1,0.576,10,0.576,0
0.37982,3.2955,0.13421,0.35327,1,0.592,10,0.592,0
0.37989,3.2958,0.13422,0.35324,1,0.608,10,0.608,0
0.37995,3.2962,0.13423,0.35322,1,0.624,10,0.624,0
0.38002,3.2966,0.13424,0.3532,1,0.64,10,0.64,0
0.38011,3.297,0.13427,0.35318,1,0.656,10,0.656,0
0.3802,3.2975,0.1343,0.35316,1,0.672,10,0.672,0
0.38029,3.2979,0.13433,0.35314,1,0.688,10,0.688,0
0.38038,3.2984,0.13436,0.35312,1,0.704,10,0.704,0
0.38047,3.2988,0.13438,0.3531,1,0.72,10,0.72,0
0.38054,3.2994,0.13439,0.35306,1,0.736,10,0.736,0
0.3806,3.3,0.13439,0.35302,1,0.752,10,0.752,0
0.38067,3.3006,0.1344,0.35298,1,0.768,10,0.768,0
0.38073,3.3012,0.1344,0.35294,1,0.784,10,0.784,0
0.38079,3.3018,0.1344,0.3529,1,0.8,10,0.8,0
0.38085,3.3024,0.1344,0.35286,1,0.816,10,0.816,0
0.38091,3.303,0.1344,0.35282,1,0.832,10,0.832,0
0.381,3.3035,0.13442,0.35278,1,0.848,10,0.848,0
0.3811,3.3041,0.13445,0.35276,1,0.864,10,0.864,0
0.3812,3.3047,0.13448,0.35273,1,0.88,10,0.88,0
0.38131,3.3052,0.13451,0.3527,1,0.896,10,0.896,0
0.38141,3.3058,0.13454,0.35267,1,0.912,10,0.912,0
0.38151,3.3063,0.13457,0.35264,1,0.928,10,0.928,0
0.38159,3.3069,0.13458,0.35259,1,0.944,10,0.944,0
0.38153,3.3079,0.13451,0.35248,1,0.96,10,0.96,0
0.38148,3.3089,0.13444,0.35236,1,0.976,10,0.976,0
0.38142,3.3098,0.13437,0.35225,1,0.992,10,0.992,0
0.38139,3.3108,0.13431,0.35213,1,1.008,10,1.008,0
0.38137,3.3117,0.13426,0.35202,1,1.024,10,1.024,0
0.38135,3.3126,0.13422,0.35191,1,1.04,10,1.04,0
0.38133,3.3136,0.13417,0.3518,1,1.056,10,1.056,0
0.38131,3.3145,0.13412,0.35169,1,1.072,10,1.072,0
0.3813,3.3154,0.13408,0.35159,1,1.088,10,1.088,0
0.38127,3.3163,0.13403,0.35147,1,1.104,10,1.104,0
0.38114,3.3176,0.13394,0.35134,1,1.12,10,1.12,0
0.381,3.3188,0.13385,0.3512,1,1.136,10,1.136,0
0.38087,3.32,0.13376,0.35106,1,1.152,10,1.152,0
0.38073,3.3212,0.13367,0.35092,1,1.168,10,1.168,0
0.38059,3.3225,0.13358,0.35078,1,1.184,10,1.184,0
0.38035,3.3237,0.13343,0.35063,1,1.2,10,1.2,0
0.38006,3.3248,0.13327,0.35047,1,1.216,10,1.216,0
0.37978,3.326,0.1331,0.35032,1,1.232,10,1.232,0
0.3795,3.3272,0.13293,0.35016,1,1.248,10,1.248,0
0.37921,3.3283,0.13277,0.35,1,1.264,10,1.264,0
0.37893,3.3295,0.1326,0.34985,1,1.28,10,1.28,0
0.37864,3.3307,0.13243,0.34969,1,1.296,10,1.296,0
0.37836,3.3318,0.13227,0.34953,1,1.312,10,1.312,0
0.37806,3.3331,0.13209,0.34937,1,1.328,10,1.328,0
0.37753,3.3355,0.13181,0.34908,1,1.344,10,1.344,0
0.37703,3.3378,0.13153,0.3488,1,1.36,10,1.36,0
0.37658,3.3397,0.13128,0.34855,1,1.376,10,1.376,0
0.37614,3.3416,0.13103,0.3483,1,1.392,10,1.392,0
0.3757,3.3435,0.13078,0.34805,1,1.408,10,1.408,0
0.37526,3.3454,0.13053,0.3478,1,1.424,10,1.424,0
0.37481,3.3473,0.13028,0.34756,1,1.44,10,1.44,0
0.37437,3.3492,0.13003,0.34731,1,1.456,10,1.456,0
0.37393,3.3511,0.12978,0.34706,1,1.472,10,1.472,0
0.37362,3.3531,0.12958,0.34683,1,1.488,10,1.488,0
0.37343,3.3551,0.12944,0.34661,1,1.504,10,1.504,0
0.37325,3.3572,0.1293,0.3464,1,1.52,10,1.52,0
0.37307,3.3593,0.12916,0.34619,1,1.536,10,1.536,0
0.37288,3.3613,0.12902,0.34598,1,1.552,10,1.552,0
0.37405,3.36,0.12947,0.34611,1,1.568,10,1.568,0
0.3761,3.3566,0.13032,0.34648,1,1.584,10,1.584,0
0.37787,3.3536,0.13105,0.34679,1,1.6,10,1.6,0
0.37945,3.3509,0.13172,0.34707,1,1.616,10,1.616,0
0.38103,3.3482,0.13238,0.34735,1,1.632,10,1.632,0
0.38261,3.3455,0.13304,0.34763,1,1.648,10,1.648,0
0.39014,3.3248,0.13687,0.35037,1,1.664,10,1.664,0
0.40013,3.2967,0.142,0.35414,1,1.68,10,1.68,0
0.41013,3.2686,0.14714,0.35791,1,1.696,10,1.696,0
0.42012,3.2404,0.15228,0.36169,1,1.712,10,1.712,0
0.43012,3.2123,0.15741,0.36546,1,1.728,10,1.728,0
0.43918,3.1872,0.16206,0.36874,1,1.744,10,1.744,0
0.44893,3.1616,0.16722,0.37221,1,1.76,10,1.76,0
0.47477,3.1081,0.18285,0.38152,1,1.776,10,1.776,0
0.50062,3.0547,0.19848,0.39084,1,1.792,10,1.792,0
0.52646,3.0012,0.21411,0.40016,1,1.808,10,1.808,0
0.55231,2.9477,0.22974,0.40947,1,1.824,10,1.824,0
0.57815,2.8943,0.24537,0.41879,1,1.84,10,1.84,0
0.60399,2.8408,0.261,0.4281,1,1.856,10,1.856,0
0.62984,2.7873,0.27663,0.43742,1,1.872,10,1.872,0
0.65766,2.7399,0.29406,0.44624,1,1.888,10,1.888,0
0.68932,2.7045,0.31489,0.45404,1,1.904,10,1.904,0
0.72103,2.669,0.33574,0.46186,1,1.92,10,1.92,0
0.75274,2.6335,0.35658,0.46968,1,1.936,10,1.936,0
0.78445,2.598,0.37743,0.4775,1,1.952,10,1.952,0
0.81616,2.5625,0.39828,0.48531,1,1.968,10,1.968,0
0.84787,2.527,0.41913,0.49313,1,1.984,10,1.984,0
0.87326,2.4997,0.43611,0.49916,1,2,10,2,0
0.89028,2.4832,0.44796,0.5028,1,2.016,10,2.016,0
0.90731,2.4668,0.45982,0.50644,1,2.032,10,2.032,0
0.92433,2.4503,0.47167,0.51008,1,2.048,10,2.048,0
0.94017,2.4355,0.48268,0.51332,1,2.064,10,2.064,0
0.95217,2.4251,0.49114,0.51569,1,2.08,10,2.08,0
0.96346,2.4156,0.49923,0.51794,1,2.096,10,2.096,0
0.97475,2.4062,0.50732,0.5202,1,2.112,10,2.112,0
0.98604,2.3968,0.51541,0.52245,1,2.128,10,2.128,0
0.99733,2.3874,0.52349,0.5247,1,2.144,10,2.144,0
1.0086,2.378,0.53158,0.52696,1,2.16,10,2.16,0
1.0177,2.371,0.53811,0.52865,1,2.176,10,2.176,0
1.0259,2.3648,0.54407,0.53015,1,2.192,10,2.192,0
1.0341,2.3587,0.55003,0.53164,1,2.208,10,2.208,0
1.0423,2.3525,0.55599,0.53314,1,2.224,10,2.224,0
1.0509,2.3459,0.56227,0.53472,1,2.24,10,2.24,0
1.0597,2.339,0.56869,0.53635,1,2.256,10,2.256,0
1.0686,2.3322,0.57511,0.53798,1,2.272,10,2.272,0
1.0774,2.3253,0.58153,0.53961,1,2.288,10,2.288,0
1.0862,2.3185,0.58795,0.54123,1,2.304,10,2.304,0
1.0934,2.3131,0.5932,0.54251,1,2.32,10,2.32,0
1.0998,2.3083,0.59796,0.54363,1,2.336,10,2.336,0
1.1063,2.3035,0.60273,0.54476,1,2.352,10,2.352,0
1.1128,2.2987,0.6075,0.54589,1,2.368,10,2.368,0
1.1192,2.2939,0.61227,0.54703,1,2.384,10,2.384,0
1.1256,2.2896,0.61697,0.5481,1,2.4,10,2.4,0
1.1319,2.2853,0.62166,0.54916,1,2.416,10,2.416,0
1.1383,2.2811,0.62634,0.55022,1,2.432,10,2.432,0
1.1446,2.277,0.63097,0.55126,1,2.448,10,2.448,0
1.1506,2.273,0.63543,0.55226,1,2.464,10,2.464,0
1.1563,2.2693,0.63976,0.55322,1,2.48,10,2.48,0
1.1619,2.2657,0.64399,0.55413,1,2.496,10,2.496,0
1.1676,2.2622,0.64821,0.55505,1,2.512,10,2.512,0
1.1732,2.2586,0.65244,0.55597,1,2.528,10,2.528,0
1.1788,2.2551,0.65667,0.55689,1,2.544,10,2.544,0
1.1844,2.2515,0.6609,0.5578,1,2.56,10,2.56,0
1.19,2.2479,0.66513,0.55872,1,2.576,10,2.576,0
1.1956,2.2444,0.66936,0.55964,1,2.592,10,2.592,0
1.2012,2.2408,0.67359,0.56056,1,2.608,10,2.608,0
1.2068,2.2373,0.67782,0.56147,1,2.624,10,2.624,0
1.2124,2.2337,0.68205,0.56239,1,2.64,10,2.64,0
1.218,2.2301,0.68627,0.56331,1,2.656,10,2.656,0
1.2237,2.2266,0.6905,0.56423,1,2.672,10,2.672,0
1.2293,2.223,0.69473,0.56515,1,2.688,10,2.688,0
1.2343,2.2201,0.69852,0.56591,1,2.704,10,2.704,0
1.239,2.2174,0.70215,0.56662,1,2.72,10,2.72,0
1.2438,2.2146,0.70578,0.56733,1,2.736,10,2.736,0
1.2486,2.2119,0.70941,0.56805,1,2.752,10,2.752,0
1.2533,2.2092,0.71303,0.56876,1,2.768,10,2.768,0
1.2581,2.2065,0.71666,0.56947,1,2.784,10,2.784,0
1.2629,2.2038,0.72029,0.57018,1,2.8,10,2.8,0
1.2677,2.201,0.72392,0.57089,1,2.816,10,2.816,0
1.2724,2.1983,0.72755,0.5716,1,2.832,10,2.832,0
1.2772,2.1956,0.73118,0.57232,1,2.848,10,2.848,0
1.282,2.1929,0.7348,0.57303,1,2.864,10,2.864,0
1.2868,2.1902,0.73843,0.57374,1,2.88,10,2.88,0
1.2915,2.1875,0.74206,0.57445,1,2.896,10,2.896,0
1.2963,2.1847,0.74569,0.57516,1,2.912,10,2.912,0
1.3011,2.182,0.74932,0.57587,1,2.928,10,2.928,0
1.3058,2.1793,0.75295,0.57659,1,2.944,10,2.944,0
1.3101,2.1772,0.75615,0.57715,1,2.96,10,2.96,0
1.3142,2.1753,0.75925,0.57767,1,2.976,10,2.976,0
1.3183,2.1734,0.76236,0.5782,1,2.992,10,2.992,0
1.3224,2.1714,0.76546,0.57872,1,3.008,10,3.008,0
1.3265,2.1695,0.76857,0.57925,1,3.024,10,3.024,0
1.3307,2.1675,0.77175,0.5798,1,3.04,10,3.04,0
1.335,2.1653,0.775,0.58037,1,3.056,10,3.056,0
1.3393,2.1632,0.77826,0.58094,1,3.072,10,3.072,0
1.3436,2.1611,0.78151,0.58151,1,3.088,10,3.088,0
1.3479,2.159,0.78477,0.58208,1,3.104,10,3.104,0
1.3522,2.1569,0.78802,0.58266,1,3.12,10,3.12,0
1.3565,2.1548,0.79128,0.58323,1,3.136,10,3.136,0
1.3608,2.1527,0.79453,0.5838,1,3.152,10,3.152,0
1.3651,2.1506,0.79778,0.58437,1,3.168,10,3.168,0
1.3694,2.1485,0.80104,0.58494,1,3.184,10,3.184,0
1.3735,2.1465,0.80416,0.58546,1,3.2,10,3.2,0
1.3774,2.1448,0.80713,0.58593,1,3.216,10,3.216,0
1.3814,2.143,0.81011,0.58639,1,3.232,10,3.232,0
1.3854,2.1413,0.81308,0.58686,1,3.248,10,3.248,0
1.3893,2.1395,0.81606,0.58732,1,3.264,10,3.264,0
1.3933,2.1378,0.81903,0.58779,1,3.28,10,3.28,0
1.3972,2.136,0.822,0.58825,1,3.296,10,3.296,0
1.4012,2.1343,0.82498,0.58872,1,3.312,10,3.312,0
1.4052,2.1325,0.82795,0.58919,1,3.328,10,3.328,0
1.4091,2.1307,0.83093,0.58965,1,3.344,10,3.344,0
1.4131,2.129,0.8339,0.59012,1,3.36,10,3.36,0
1.4171,2.1272,0.83691,0.59059,1,3.376,10,3.376,0
1.4206,2.1257,0.83957,0.59099,1,3.392,10,3.392,0
1.4241,2.1242,0.84223,0.59139,1,3.408,10,3.408,0
1.4276,2.1226,0.84487,0.59179,1,3.424,10,3.424,0
1.4311,2.1211,0.8475,0.59219,1,3.44,10,3.44,0
1.4346,2.1196,0.85013,0.59259,1,3.456,10,3.456,0
1.438,2.1181,0.85276,0.59299,1,3.472,10,3.472,0
1.4415,2.1165,0.85539,0.59338,1,3.488,10,3.488,0
1.445,2.115,0.85802,0.59378,1,3.504,10,3.504,0
1.4482,2.1134,0.86055,0.59422,1,3.52,10,3.52,0
1.451,2.1115,0.86294,0.59472,1,3.536,10,3.536,0
1.4539,2.1097,0.86537,0.59519,1,3.552,10,3.552,0
1.4569,2.1079,0.86783,0.59567,1,3.568,10,3.568,0
1.4598,2.1061,0.87029,0.59614,1,3.584,10,3.584,0
1.4628,2.1043,0.87275,0.59662,1,3.6,10,3.6,0
1.4657,2.1025,0.8752,0.59709,1,3.616,10,3.616,0
1.4687,2.1008,0.87766,0.59757,1,3.632,10,3.632,0
1.4717,2.099,0.88012,0.59804,1,3.648,10,3.648,0
1.4738,2.0966,0.88227,0.59864,1,3.664,10,3.664,0
1.4756,2.094,0.88433,0.59928,1,3.68,10,3.68,0
1.4775,2.0915,0.88639,0.59992,1,3.696,10,3.696,0
1.4793,2.0889,0.88845,0.60056,1,3.712,10,3.712,0
1.4812,2.0864,0.89052,0.6012,1,3.728,10,3.728,0
1.4832,2.084,0.89266,0.60181,1,3.744,10,3.744,0
1.4854,2.0817,0.89483,0.60239,1,3.76,10,3.76,0
1.4876,2.0794,0.89701,0.60298,1,3.776,10,3.776,0
1.4898,2.077,0.89919,0.60357,1,3.792,10,3.792,0
1.4907,2.073,0.90123,0.60456,1,3.808,10,3.808,0
1.4913,2.0685,0.90325,0.60566,1,3.824,10,3.824,0
1.4919,2.064,0.90526,0.60677,1,3.84,10,3.84,0
1.4925,2.0597,0.90723,0.60784,1,3.856,10,3.856,0
1.4932,2.0555,0.90913,0.60884,1,3.872,10,3.872,0
1.4939,2.0514,0.91104,0.60984,1,3.888,10,3.888,0
1.4931,2.0449,0.91295,0.61146,1,3.904,10,3.904,0
1.4909,2.036,0.91487,0.61368,1,3.92,10,3.92,0
1.4887,2.0271,0.91679,0.61591,1,3.936,10,3.936,0
1.4865,2.0183,0.91871,0.61813,1,3.952,10,3.952,0
1.4846,2.0099,0.92066,0.62023,1,3.968,10,3.968,0
1.4833,2.0024,0.92265,0.62209,1,3.984,10,3.984,0
1.4821,1.995,0.92463,0.62395,1,4,10,4,0
1.4808,1.9875,0.92662,0.62582,1,4.016,10,4.016,0
1.4782,1.978,0.92857,0.62822,1,4.032,10,4.032,0
1.4749,1.9673,0.93051,0.63095,1,4.048,10,4.048,0
1.4715,1.9566,0.93244,0.63368,1,4.064,10,4.064,0
1.4677,1.9451,0.93436,0.63664,1,4.08,10,4.08,0
1.4612,1.929,0.93619,0.64089,1,4.096,10,4.096,0
1.4547,1.913,0.93803,0.64514,1,4.112,10,4.112,0
1.4482,1.897,0.93986,0.64938,1,4.128,10,4.128,0
1.4417,1.881,0.9417,0.65363,1,4.144,10,4.144,0
1.4352,1.865,0.94353,0.65788,1,4.16,10,4.16,0
1.4287,1.849,0.94537,0.66213,1,4.176,10,4.176,0
1.4222,1.833,0.94721,0.66637,1,4.192,10,4.192,0
1.4156,1.8168,0.94901,0.67065,1,4.208,10,4.208,0
1.4087,1.8003,0.95074,0.67503,1,4.224,10,4.224,0
1.4006,1.7814,0.95238,0.68012,1,4.24,10,4.24,0
1.3895,1.7564,0.95382,0.68697,1,4.256,10,4.256,0
1.3784,1.7315,0.95526,0.69383,1,4.272,10,4.272,0
1.3673,1.7066,0.9567,0.70069,1,4.288,10,4.288,0
1.3562,1.6816,0.95814,0.70755,1,4.304,10,4.304,0
1.3451,1.6567,0.95958,0.7144,1,4.32,10,4.32,0
1.334,1.6317,0.96102,0.72126,1,4.336,10,4.336,0
1.3229,1.6068,0.96243,0.72812,1,4.352,10,4.352,0
1.3117,1.5818,0.96381,0.73497,1,4.368,10,4.368,0
1.2997,1.553,0.96502,0.74297,1,4.384,10,4.384,0
1.2864,1.5206,0.96595,0.75198,1,4.4,10,4.4,0
1.273,1.4882,0.96686,0.761,1,4.416,10,4.416,0
1.2597,1.4557,0.96776,0.77002,1,4.432,10,4.432,0
1.2463,1.4233,0.96867,0.77905,1,4.448,10,4.448,0
1.2329,1.3908,0.96957,0.78807,1,4.464,10,4.464,0
1.2196,1.3584,0.97048,0.79709,1,4.48,10,4.48,0
1.2062,1.326,0.97139,0.80611,1,4.496,10,4.496,0
1.1929,1.2935,0.97229,0.81513,1,4.512,10,4.512,0
1.1822,1.2594,0.97297,0.82392,1,4.528,10,4.528,0
1.1714,1.2253,0.97366,0.83272,1,4.544,10,4.544,0
1.1606,1.1913,0.97434,0.84152,1,4.56,10,4.56,0
1.1499,1.1572,0.97503,0.85032,1,4.576,10,4.576,0
1.1391,1.1232,0.97571,0.85912,1,4.592,10,4.592,0
1.128,1.0889,0.97648,0.86808,1,4.608,10,4.608,0
1.1168,1.0547,0.97727,0.87711,1,4.624,10,4.624,0
1.1056,1.0204,0.97806,0.88614,1,4.64,10,4.64,0
1.0943,0.98611,0.97886,0.89517,1,4.656,10,4.656,0
1.0846,0.95266,0.97959,0.9035,1,4.672,10,4.672,0
1.0762,0.92002,0.98026,0.91116,1,4.688,10,4.688,0
1.0678,0.88737,0.98093,0.91882,1,4.704,10,4.704,0
1.0615,0.85817,0.98112,0.9246,1,4.72,10,4.72,0
1.0553,0.82907,0.9813,0.93031,1,4.736,10,4.736,0
1.0492,0.79998,0.98147,0.93603,1,4.752,10,4.752,0
1.043,0.77088,0.98165,0.94175,1,4.768,10,4.768,0
1.0368,0.74179,0.98182,0.94746,1,4.784,10,4.784,0
1.0307,0.71269,0.982,0.95318,1,4.8,10,4.8,0
1.0249,0.68375,0.98241,0.95883,1,4.816,10,4.816,0
1.0192,0.65486,0.98288,0.96447,1,4.832,10,4.832,0
1.0153,0.63052,0.98282,0.96809,1,4.848,10,4.848,0
1.0115,0.60621,0.98276,0.9717,1,4.864,10,4.864,0
1.0086,0.58421,0.98301,0.97471,1,4.88,10,4.88,0
1.0066,0.56415,0.98353,0.97722,1,4.896,10,4.896,0
1.0045,0.54409,0.98404,0.97973,1,4.912,10,4.912,0
1.0025,0.52403,0.98456,0.98225,1,4.928,10,4.928,0
1.0004,0.50397,0.98508,0.98476,1,4.944,10,4.944,0
0.99841,0.48391,0.98559,0.98727,1,4.96,10,4.96,0
0.99637,0.46385,0.98611,0.98978,1,4.976,10,4.976,0
0.99433,0.44379,0.98662,0.9923,1,4.992,10,4.992,0
0.99259,0.42523,0.987,0.99438,1,5.008,10,5.008,0
0.99177,0.41152,0.9869,0.99511,1,5.024,10,5.024,0
0.99095,0.3978,0.98681,0.99584,1,5.04,10,5.04,0
0.99014,0.38408,0.98671,0.99657,1,5.056,10,5.056,0
0.98932,0.37036,0.98662,0.9973,1,5.072,10,5.072,0
0.98851,0.35665,0.98652,0.99803,1,5.088,10,5.088,0
0.98769,0.34293,0.98643,0.99876,1,5.104,10,5.104,0
0.98687,0.32921,0.98633,0.99948,1,5.12,10,5.12,0
0.98606,0.31549,0.98624,1.0002,1,5.136,10,5.136,0
0.98524,0.30178,0.98615,1.0009,1,5.152,10,5.152,0
0.98442,0.28806,0.98605,1.0017,1,5.168,10,5.168,0
0.98361,0.27434,0.98596,1.0024,1,5.184,10,5.184,0
0.98271,0.26133,0.98552,1.0029,1,5.2,10,5.2,0
0.98181,0.24839,0.98504,1.0033,1,5.216,10,5.216,0
0.98091,0.23545,0.98457,1.0037,1,5.232,10,5.232,0
0.98061,0.22568,0.98445,1.0039,1,5.248,10,5.248,0
0.98059,0.21749,0.98447,1.004,1,5.264,10,5.264,0
0.98065,0.21043,0.98445,1.0039,1,5.28,10,5.28,0
0.98072,0.20351,0.98445,1.0038,1,5.296,10,5.296,0
0.98086,0.19708,0.98452,1.0037,1,5.312,10,5.312,0
0.981,0.19065,0.98458,1.0037,1,5.328,10,5.328,0
0.98114,0.18422,0.98465,1.0036,1,5.344,10,5.344,0
0.98127,0.17779,0.98472,1.0035,1,5.36,10,5.36,0
0.98141,0.17136,0.98479,1.0034,1,5.376,10,5.376,0
0.98155,0.16493,0.98485,1.0034,1,5.392,10,5.392,0
0.98169,0.1585,0.98492,1.0033,1,5.408,10,5.408,0
0.98182,0.15207,0.98499,1.0032,1,5.424,10,5.424,0
0.98194,0.14555,0.98503,1.0031,1,5.44,10,5.44,0
0.98199,0.13876,0.98499,1.0031,1,5.456,10,5.456,0
0.98204,0.13198,0.98494,1.003,1,5.472,10,5.472,0
0.98209,0.12519,0.9849,1.0029,1,5.488,10,5.488,0
0.98214,0.1184,0.98486,1.0028,1,5.504,10,5.504,0
0.98223,0.1134,0.98485,1.0027,1,5.52,10,5.52,0
0.98237,0.11051,0.98486,1.0025,1,5.536,10,5.536,0
0.98251,0.10763,0.98487,1.0024,1,5.552,10,5.552,0
0.98264,0.10475,0.98489,1.0023,1,5.568,10,5.568,0
0.98278,0.10187,0.9849,1.0022,1,5.584,10,5.584,0
0.98282,0.098938,0.98478,1.002,1,5.6,10,5.6,0
0.98283,0.095995,0.98463,1.0018,1,5.616,10,5.616,0
0.98285,0.093053,0.98447,1.0016,1,5.632,10,5.632,0
0.98286,0.09011,0.98431,1.0015,1,5.648,10,5.648,0
0.98288,0.087167,0.98415,1.0013,1,5.664,10,5.664,0
0.9829,0.084224,0.98399,1.0011,1,5.68,10,5.68,0
0.98291,0.081281,0.98384,1.0009,1,5.696,10,5.696,0
0.98293,0.078338,0.98368,1.0008,1,5.712,10,5.712,0
0.98294,0.075395,0.98352,1.0006,1,5.728,10,5.728,0
0.98296,0.072452,0.98336,1.0004,1,5.744,10,5.744,0
0.98297,0.06951,0.98321,1.0002,1,5.76,10,5.76,0
0.98313,0.067345,0.98327,1.0001,1,5.776,10,5.776,0
0.98331,0.065274,0.98337,1.0001,1,5.792,10,5.792,0
